,File_name,File_path,File_size_bytes,File_size,Creation_time,Modification_time,Title,Author,Pages,author,category,comments,content_status,created,identifier,keywords,language,last_modified_by,last_printed,modified,revision,subject,title,version,Image_height,Image_width,Image_format,Image_mode,Image_is_animated,Frames_in_image
0,"Eva Illouz - Saving the Modern Soul_ Therapy, Emotions, and the Culture of Self-Help .pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 2. Наука о чувствах/Eva Illouz - Saving the Modern Soul_ Therapy, Emotions, and the Culture of Self-Help .pdf",1256110,1.2 MB,Sun Dec 26 03:14:07 2021,Wed Mar  3 23:15:44 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,"Nussbaum, Martha C. - Upheavals of thought _ the intelligence of emotions-Cambridge University Press (2008).pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 3. Наука о чувствах/Nussbaum, Martha C. - Upheavals of thought _ the intelligence of emotions-Cambridge University Press (2008).pdf",17797094,16.97 MB,Sun Dec 26 03:17:11 2021,Fri Mar 12 18:48:08 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,"Martha C. Nussbaum - Hiding from Humanity_ Disgust, Shame, and the Law (2006) - libgen.lc.pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 3. Наука о чувствах/Martha C. Nussbaum - Hiding from Humanity_ Disgust, Shame, and the Law (2006) - libgen.lc.pdf",1392406,1.33 MB,Sun Dec 26 03:17:11 2021,Fri Mar 12 18:47:29 2021,"Hiding from Humanity: Disgust, Shame, and the Law",Acrobat Distiller 6.0 (Windows),432.0,,,,,,,,,,,,,,,,,,,,,
0,"Martha C. Nussbaum - Political Emotions_ Why Love Matters for Justice (2013, Belknap Press) - libgen.lc.pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 3. Наука о чувствах/Martha C. Nussbaum - Political Emotions_ Why Love Matters for Justice (2013, Belknap Press) - libgen.lc.pdf",2302699,2.2 MB,Sun Dec 26 03:17:11 2021,Fri Mar 12 18:47:48 2021,Political Emotions,Acrobat Distiller 8.1.0 (Windows),469.0,,,,,,,,,,,,,,,,,,,,,
0,"[Palgrave Studies in Affect Theory and Literary Criticism] Stephen Ahern - Affect Theory and Literary Critical Practice_ A Feel for the Text (2019, Springer International Publishing_Palgrave Macmillan) - libgen.lc.pdf","/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 3. Наука о чувствах/[Palgrave Studies in Affect Theory and Literary Criticism] Stephen Ahern - Affect Theory and Literary Critical Practice_ A Feel for the Text (2019, Springer International Publishing_Palgrave Macmillan) - libgen.lc.pdf",2608241,2.49 MB,Thu Jan 20 14:48:47 2022,Fri Mar 12 18:47:12 2021,,,,,,,,,,,,,,,,,,,,,,,,
0,Timofeeva_O_-_Vvedenie_v_eroticheskuyu_filosofiyu.pdf,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 3. Наука о чувствах/Timofeeva_O_-_Vvedenie_v_eroticheskuyu_filosofiyu.pdf,3549832,3.39 MB,Fri Mar 12 18:48:40 2021,Fri Mar 12 18:48:21 2021,WORD to PDF Converter - go4convert.com,ABBYY FineReader 11,199.0,,,,,,,,,,,,,,,,,,,,,
0,Семинар 3. Наука о чувствах.docx,/Users/karnaukhovivan/Desktop/3 курс/Свободный университет. Чувства/Семинар 3. Наука о чувствах/Семинар 3. Наука о чувствах.docx,27877,27.22 KB,Mon Apr 19 14:44:14 2021,Sat Mar 13 15:21:54 2021,,,,Карнаухов Иван Алексеевич,,,,2021-03-12 15:55:00,,,,Карнаухов Иван Алексеевич,,2021-03-13 12:21:00,4.0,,,,,,,,,
0,Текст. Рецензия.docx,/Users/karnaukhovivan/Desktop/3 курс/1 семестр/Россия 18-19 вв/Текст. Рецензия.docx,33892,33.1 KB,Fri Feb 18 22:14:42 2022,Tue Dec  1 23:35:17 2020,,,,Карнаухов Иван Алексеевич,,,,2020-11-29 09:25:00,,,,Карнаухов Иван Алексеевич,,2020-12-01 20:35:00,15.0,,,,,,,,,
0,"Elise Kimerling Wirtschafter - From Serf to Russian Soldier (1990, White Mane Pub. Co.) - libgen.lc.pdf","/Users/karnaukhovivan/Desktop/3 курс/1 семестр/Россия 18-19 вв/Семинар 10/Elise Kimerling Wirtschafter - From Serf to Russian Soldier (1990, White Mane Pub. Co.) - libgen.lc.pdf",123084124,117.38 MB,Mon Nov 30 18:30:22 2020,Mon Nov 30 13:29:00 2020,,,,,,,,,,,,,,,,,,,,,,,,
0,Иванов Ф.Н. История рекрутской повинности в России (1699-1874 гг.)_2017.pdf,/Users/karnaukhovivan/Desktop/3 курс/1 семестр/Россия 18-19 вв/Семинар 10/Иванов Ф.Н. История рекрутской повинности в России (1699-1874 гг.)_2017.pdf,3375201,3.22 MB,Sat Sep  9 09:37:59 2023,Mon Nov 30 13:30:00 2020,,,,,,,,,,,,,,,,,,,,,,,,
0,Seminar_13-14_Sosl_politika_Kr_pravo.docx,/Users/karnaukhovivan/Desktop/3 курс/1 семестр/Россия 18-19 вв/Семинар 13-14/Seminar_13-14_Sosl_politika_Kr_pravo.docx,46902,45.8 KB,Mon Nov 29 15:30:15 2021,Tue Dec  8 17:43:02 2020,,,,Сергей Польской,,,,2020-09-10 21:09:00,,,,Карнаухов Иван Алексеевич,,2020-12-08 14:43:00,59.0,,,,,,,,,
0,Захарова_1860-70.pdf,/Users/karnaukhovivan/Desktop/3 курс/1 семестр/Россия 18-19 вв/Семинар 13-14/Семинар 14/Захарова_1860-70.pdf,518588,506.43 KB,Thu Dec  3 16:22:37 2020,Thu Dec  3 11:22:00 2020,,,,,,,,,,,,,,,,,,,,,,,,
0,Семинар 15-16_Суд_Религиозн.политика.docx,/Users/karnaukhovivan/Desktop/3 курс/1 семестр/Россия 18-19 вв/Семинар15-16/Семинар 15-16_Суд_Религиозн.политика.docx,32188,31.43 KB,Fri Sep  2 01:08:48 2022,Tue Dec 15 17:45:30 2020,,,,Сергей Польской,,,,2020-09-10 21:09:00,,,,Карнаухов Иван Алексеевич,,2020-12-15 14:45:00,57.0,,,,,,,,,
